sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:vocabulary_id,ADD_INFO:vocabulary_concept_code,ADD_INFO:vocabulary_concept_name,ADD_INFO:source_concept,ADD_INFO:abbreviation,ADD_INFO:ordercategory,ADD_INFO:category,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
16913-118,Amino acid tracer study,3,,,,,Aminozuur-tracer studie,Aminozuur-tracer studie,Research,Research-Processen,0.50,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
7208-15,erythromycin,22577,,ATC,J01FA01,erythromycin,Erythromycine (Erythrocine),Erythromycine,Injecties Antimicrobiele middelen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1686868574640,36783613,Erythromycin 1000 MG Intravenous Solution [Erythrocin],Drug,MAPS_TO,,Patrick Thoral,1686868570922,
7132-32,ipratropium bromide,1635,,ATC,R03BB01,ipratropium bromide,Ipratropium bromide (Atrovent),Ipratropium,Niet iv Overig,Medicatie,0.85,APPROVED,EQUAL,Patrick Thoral,1696638292140,36813855,Ipratropium 0.25 MG/ML Inhalation Solution [Atrovent],Drug,MAPS_TO,,Patrick Thoral,1696638105994,
7132-32,ipratropium bromide,1635,,ATC,R03BB01,ipratropium bromide,Ipratropium bromide (Atrovent),Ipratropium,Niet iv Overig,Medicatie,0.85,APPROVED,EQUAL,Patrick Thoral,1696638292140,40486069,Respiratory trac,Route,MAPS_TO_TYPE,,Patrick Thoral,1696638144015,
16914-118,Human dipep AA study,5,,,,,Human dipep AA studie,Human dipep AA studie,Research,Research-Processen,0.33,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
20361-25,Prothrombin complex (Cofact),20,,,,,Protrombinecomplex (Cofact),Protrombinecomplex (Cofact),Injecties Haematologisch,Medicatie,0.57,UNCHECKED,UNREVIEWED,,0,43854333,Prothrombin Injectable Solution [Cofact],Drug,MAPS_TO,,<auto>,1686702831094,
10623-119,Sevelamer hydrochloride (Renagel),522,,,,,Sevelamerhydrochloride (Renagel),Sevelamerhydrochloride (Renagel),Niet IV Groot Volume,Medicatie,0.68,APPROVED,EQUAL,Patrick Thoral,1693506805239,41027327,sevelamer 2400 MG Oral Solution [Renvela],Drug,MAPS_TO,,Patrick Thoral,1693506803474,
7132-70,ipratropium bromide,7070,,ATC,R03BB01,ipratropium bromide,Ipratropium bromide (Atrovent),Ipratropium,Niet iv Tractus Respiratorius,Medicatie,0.85,APPROVED,EQUAL,Patrick Thoral,1696634646735,36813855,Ipratropium 0.25 MG/ML Inhalation Solution [Atrovent],Drug,MAPS_TO,,Patrick Thoral,1696634632992,
7212-65,Naloxone (Narcan),66,,,,,Naloxon (Narcan),Naloxon (Narcan),2. Spuitpompen,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1710156047719,40063502,naloxone Injectable Solution [Narcan],Drug,MAPS_TO,,Patrick Thoral,1710156045624,
16917-25,Fibrinogen inj/inf,61,,,,,Fibrinogeen inj/inf,Fibrinogeen inj/inf,Injecties Haematologisch,Medicatie,0.48,UNCHECKED,UNREVIEWED,,0,37497856,fibrinogen Injection,Drug,MAPS_TO,,<auto>,1686702832145,
10624-25,Darbepoetin (Aranesp)X,128,,,,,Darbepoëtine (Aranesp)X,Darbepoëtine (Aranesp)X,Injecties Haematologisch,Deleted - Niet gebruiken,0.43,UNCHECKED,UNREVIEWED,,0,46234251,darbepoetin alfa Injection [Aranesp],Drug,MAPS_TO,,<auto>,1686702832795,
20362-67,trace elements (Addamel-N),1613,,ATC,B05XA31,electrolytes in combination with other drugs,Spoorelementen (Addamel-N),Spoorelementen (Addamel-N),Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.28,APPROVED,EQUAL,Patrick Thoral,1696677917215,40714934,10 ML chromic chloride 0.00512 MG/ML / Copper chloride 0.34 MG/ML / ferric chloride 0.541 MG/ML / Fluoride Ion 0.21 MG/ML / Iodine 0.0166 MG/ML / manganese chloride 0.1 MG/ML / Selenium 0.01 MG/ML / ... Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696677915665,
7135-65,isoprenaline,2021,,ATC,C01CA02,isoprenaline,Isoprenaline (Isuprel),Isoprenaline,2. Spuitpompen,Medicatie,0.83,APPROVED,EQUAL,Patrick Thoral,1696679560678,36812278,Isoproterenol 0.01 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696679545595,
7212-31,Naloxone (Narcan),50,,,,,Naloxon (Narcan),Naloxon (Narcan),Niet iv Tractus Digestivus,Medicatie,0.58,UNCHECKED,UNREVIEWED,,0,42613612,naloxone Injection [Narcan],Drug,MAPS_TO,,<auto>,1686702833112,
16963-71,Cinalcet (Mimpara),33,,,,,Cinalcet (Mimpara),Cinalcet (Mimpara),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.54,APPROVED,EQUAL,Patrick Thoral,1710152088933,21055684,cinacalcet Oral Tablet [Mimpara],Drug,MAPS_TO,,<auto>,1686702833213,
8268-21,selective digestive tract decontamination oral suspension,196878,,ATC,A07AA,Antibiotics,SDD drank (4 x dgs),SDD drank (4 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.47,APPROVED,EQUIVALENT,Patrick Thoral,1711142329216,902722,tobramycin,Drug,MAPS_TO,"# SDD suspension (10 ml): 80 mg tobramycin, 100 mg colistin, and 500 mg amphotericin B. Rx: 10 ml t.i.d. ",Patrick Thoral,1696804237392,
8268-21,selective digestive tract decontamination oral suspension,196878,,ATC,A07AA,Antibiotics,SDD drank (4 x dgs),SDD drank (4 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.47,APPROVED,EQUIVALENT,Patrick Thoral,1711142329216,901845,colistin,Drug,MAPS_TO,"# SDD suspension (10 ml): 80 mg tobramycin, 100 mg colistin, and 500 mg amphotericin B. Rx: 10 ml t.i.d. ",Patrick Thoral,1696804387711,
8268-21,selective digestive tract decontamination oral suspension,196878,,ATC,A07AA,Antibiotics,SDD drank (4 x dgs),SDD drank (4 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.47,APPROVED,EQUIVALENT,Patrick Thoral,1711142329216,1717240,amphotericin B,Drug,MAPS_TO,"# SDD suspension (10 ml): 80 mg tobramycin, 100 mg colistin, and 500 mg amphotericin B. Rx: 10 ml t.i.d. ",Patrick Thoral,1696804600200,
10625-30,Minoxidil (lon nuts),5,,,,,Minoxidil (Lonnoten),Minoxidil (Lonnoten),Niet iv Circulatie/Diurese,Medicatie,0.46,UNCHECKED,UNREVIEWED,,0,1309068,minoxidil,Drug,MAPS_TO,,<auto>,1686702833882,
7135-24,isoprenaline,1,,ATC,C01CA02,isoprenaline,Isoprenaline (Isuprel),Isoprenaline,Injecties Circulatie/Diuretica,Medicatie,0.83,APPROVED,EQUAL,Patrick Thoral,1696679576473,44097196,Isoproterenol 0.2 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696679574639,
7212-23,Naloxone (Narcan),84,,,,,Naloxon (Narcan),Naloxon (Narcan),Injecties CZS/Sedatie/Analgetica,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1711149661859,36959191,naloxone 0.4 MG/ML Injectable Solution [Narcan],Drug,MAPS_TO,,Patrick Thoral,1711149659934,
17039-118,Anidulafungin study Pharmacy - Study,14,,,,,Anidulafungin studie Apotheek - Studie,Anidulafungin studie Apotheek - Studie,Research,Research-Processen,0.66,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
10627-30,Quinidine,172,,,,,Kinidine,Kinidine,Niet iv Circulatie/Diurese,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1360421,quinidine,Drug,MAPS_TO,,<auto>,1686702834525,
8374-15,Quinine dihydrochloride,3,,,,,Kinine dihydrocloride,Kinine dihydrocloride,Injecties Antimicrobiele middelen,Medicatie,0.71,APPROVED,EQUAL,Patrick Thoral,1710265395820,1760659,quinine 300 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1710265393877,
7213-65,Esmolol (Brevibloc),227,,,,,Esmolol (Brevibloc),Esmolol,2. Spuitpompen,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1710154169405,35603874,esmolol hydrochloride 10 MG/ML Injection [Brevibloc],Drug,MAPS_TO,,Patrick Thoral,1710154166269,
18674-65,Argatroban (Arganova),598,,,,,Argatroban (Arganova),Argatroban (Arganova),2. Spuitpompen,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1690489081097,43026040,argatroban Injectable Solution [ARGANOVA],Drug,MAPS_TO,,Patrick Thoral,1690489079566,
7139-65,Verapamil (Isoptin),26,,,,,Verapamil (Isoptin),Verapamil,2. Spuitpompen,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1711144046584,43728443,Verapamil Injectable Solution [Isoptin],Drug,MAPS_TO,,Patrick Thoral,1711144044717,
8375-25,Immunoglobulin (Nanogam),47,,,,,Immunoglobuline (Nanogam),Immunoglobuline (Nanogam),Injecties Haematologisch,Medicatie,0.66,UNCHECKED,UNREVIEWED,,0,43531966,immunoglobulin A,Drug,MAPS_TO,,<auto>,1686702835648,
7213-24,Esmolol (Brevibloc),86,,,,,Esmolol (Brevibloc),Esmolol,Injecties Circulatie/Diuretica,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1711147356018,36880311,esmolol 10 MG/ML Injectable Solution [Brevibloc],Drug,MAPS_TO,,Patrick Thoral,1711147354485,
10628-71,Fludrocortisone (Florinef),756,,,,,Fludrocortison (Florinef),Fludrocortison (Florinef),Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.63,APPROVED,EQUAL,Patrick Thoral,1710261309594,40041021,fludrocortisone Oral Tablet [Florinef],Drug,MAPS_TO,,Patrick Thoral,1710261308120,
7139-30,Verapamil (Isoptin),679,,,,,Verapamil (Isoptin),Verapamil,Niet iv Circulatie/Diurese,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1711144885512,40088091,verapamil Oral Tablet [Isoptin],Drug,MAPS_TO,,<auto>,1686702836514,
8375-15,Immunoglobulin (Nanogam),60,,,,,Immunoglobuline (Nanogam),Immunoglobuline (Nanogam),Injecties Antimicrobiele middelen,Medicatie,0.66,APPROVED,EQUAL,Patrick Thoral,1710265069432,783871,Immunoglobulin G 50 MG/ML Injectable Solution [Nanogam],Drug,MAPS_TO,,Patrick Thoral,1710265059804,
7214-23,etomidate,1453,,ATC,N01AX07,etomidate,Etomidaat (Hypnomidate),Etomidaat,Injecties CZS/Sedatie/Analgetica,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696798653154,36895461,10 ML Etomidate 2 MG/ML Injectable Suspension [Etomidat Lipuro],Drug,MAPS_TO,,Patrick Thoral,1696798648666,
10629-71,NaCl sachet,2133,,,,,NaCL zakje,NaCL zakje,Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,0.39,APPROVED,INEXACT,Patrick Thoral,1710148688422,4305895,Sodium chloride,Drug,MAPS_TO,,Patrick Thoral,1710148673522,
20363-21,Amphotericin B (Fungizone) oral solution,88,,,,,Amfotericine B (Fungizone) drank,Amfotericine B (Fungizone) drank,Niet iv Antimicrobiele middelen,Medicatie,0.68,APPROVED,EQUAL,Patrick Thoral,1710150713023,35830173,amphotericin B Oral Solution [Fungizone],Drug,MAPS_TO,,<auto>,1686702837450,
8394-15,co-trimoxazole,8064,,ATC,J01EE01,sulfamethoxazole and trimethoprim,Co-Trimoxazol (Bactrimel),Co-Trimoxazol,Injecties Antimicrobiele middelen,Medicatie,0.39,APPROVED,EQUAL,Patrick Thoral,1696795329064,40902269,Sulfamethoxazole 800 MG / Trimethoprim 160 MG Injectable Solution [Co Trimoxazol],Drug,MAPS_TO,,Patrick Thoral,1696795326760,
18675-15,liposomal amphotericin B,329,,ATC,J02AA01,amphotericin B,Amfotericine B in liposomen (Ambisome ),Amfotericine B in liposomen (Ambisome ),Injecties Antimicrobiele middelen,Medicatie,0.79,APPROVED,EQUAL,Patrick Thoral,1696797217740,40747347,amphotericin B liposomal 50 MG Injectable Solution [AmBisome],Drug,MAPS_TO,,Patrick Thoral,1696797212667,
7139-24,Verapamil (Isoptin),27,,,,,Verapamil (Isoptin),Verapamil,Injecties Circulatie/Diuretica,Medicatie,0.58,APPROVED,EQUAL,Patrick Thoral,1711147304356,43782431,Verapamil 2.5 MG/ML Injectable Solution [Isoptin],Drug,MAPS_TO,,Patrick Thoral,1711147301647,
10738-55,CVVH-Moisture return,566,,,,,CVVH-Vocht teruggave,CVVH-Vocht teruggave,Infuus - Crystalloid,INFUUS-Crystalloïd,0.17,APPROVED,UNMATCHED,Patrick Thoral,1711146520261,0,Unmapped,,MAPS_TO,,,0,
8420-56,Sandwiches,846,,,,,Boterhammen,Boterham,Voeding Vast voedsel,Voeding,0.24,APPROVED,EQUAL,Patrick Thoral,1696614123174,42536273,Sandwich,Observation,MAPS_TO,,Patrick Thoral,1696614122340,
7215-23,Valproic acid (Orfiril/Depakine),1055,,,,,Valproïnezuur (Orfiril/Depakine),Valproïnezuur (Orfiril/Depakine),Injecties CZS/Sedatie/Analgetica,Medicatie,0.44,APPROVED,EQUIVALENT,Patrick Thoral,1710150575829,43639048,Valproate 100 MG/ML Injectable Solution [Orfiril],Drug,MAPS_TO,,Patrick Thoral,1710150573266,
10739-55,NaCl 2.9%,623,,,,,"NaCL 2,9%","NaCL 2,9%",Infuus - Crystalloid,INFUUS-Crystalloïd,0.40,APPROVED,INEXACT,Patrick Thoral,1711146620863,42482740,Sodium Chloride 30 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1711146618981,
18707-30,Prasugrel (Efient),990,,,,,Prasugrel (Efient),Prasugrel (Efient),Niet iv Circulatie/Diurese,Medicatie,0.65,APPROVED,EQUAL,Patrick Thoral,1711145746664,21046449,prasugrel Oral Tablet [Efient],Drug,MAPS_TO,,Patrick Thoral,1711145745506,
20498-118,CT impedation study,37,,,,,CT-impedatie studie,CT-impedatie studie,Research,Research-Processen,0.23,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
8421-56,Hot meal,503,,,,,Warme maaltijd,WarmeMaaltijd,Voeding Vast voedsel,Voeding,0.43,APPROVED,EQUAL,Patrick Thoral,1696614143580,4037090,Cooked food,Observation,MAPS_TO,,Patrick Thoral,1696614142136,
18733-118,ISPRO - Study,25,,,,,ISPRO - Studie,ISPRO - Studie,Research,Research-Processen,0.28,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
7141-30,Isosorbide dinitrate (Cedocard),955,,,,,Isosorbidedinitraat (Cedocard),Isosorbidedinitraat (Cedocard),Niet iv Circulatie/Diurese,Medicatie,0.71,APPROVED,EQUAL,Patrick Thoral,1711145306110,40052454,isosorbide dinitrate Oral Tablet [Cedocard],Drug,MAPS_TO,,<auto>,1686702839908,
7148-55,magnesium sulfate,8866,,ATC,B05XA05,magnesium sulfate,Magnesiumsulfaat (MgSO4),MgSO4 (Magnesiumsulfaat ),Infuus - Crystalloid,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696675780937,40063181,magnesium sulfate Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696675779270,
18743-32,Tacrolimus (Advagraf),269,,,,,Tacrolimus (Advagraf),Tacrolimus (Advagraf),Niet iv Overig,Medicatie,0.62,UNCHECKED,UNREVIEWED,,0,21141659,Tacrolimus 1 MG [Advagraf],Drug,MAPS_TO,,<auto>,1686702841086,
7217-65,Neostigmine methyl sulfate,452,,,,,Neostigmine methylsulfaat,Neostigmine methylsulfaat,2. Spuitpompen,Medicatie,0.82,APPROVED,EQUAL,Patrick Thoral,1711144376191,40072348,neostigmine Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1711144374963,
10741-30,Nifedipine (Adalat oros),371,,,,,Nifedipine (Adalat oros),Nifedipine (Adalat oros),Niet iv Circulatie/Diurese,Medicatie,0.61,UNCHECKED,UNREVIEWED,,0,2926278,nifedipine 20 MG [ADALAT OROS],Drug,MAPS_TO,,<auto>,1686702841222,
8424-29,Methylfinidate (Ritalin),695,,,,,Methylfinidaat (Ritalin),Methylfinidaat (Ritalin),Niet iv CZS/Sedatie/Analgetica,Medicatie,0.41,APPROVED,EQUAL,Patrick Thoral,1690485744944,40066580,methylphenidate Oral Tablet [Ritalin],Drug,MAPS_TO,,<auto>,1686702841421,
7148-67,magnesium sulfate,32602,,ATC,B05XA05,magnesium sulfate,Magnesiumsulfaat (MgSO4),MgSO4 (Magnesiumsulfaat ),Injecties Hormonen/Vitaminen/Mineralen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1686787326595,21058473,10 ML Magnesium Sulfate 100 MG/ML Injection,Drug,MAPS_TO,,Patrick Thoral,1686787324827,
18746-25,Rituximab (MABTHERA),3,,,,,Rituximab (MABTHERA),Rituximab (MABTHERA),Injecties Haematologisch,Medicatie,0.73,UNCHECKED,UNREVIEWED,,0,43203965,rituximab 100 MG [MabThera],Drug,MAPS_TO,,<auto>,1686702842153,
18751-25,Alemtuzumab,1,,,,,Alemtuzumab,Alemtuzumab,Injecties Haematologisch,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696616617515,42929589,alemtuzumab 10 MG/ML Injectable Solution [Lemtrada],Drug,MAPS_TO,,Patrick Thoral,1696616616315,
7149-65,ketanserin,1728,,ATC,C02KD01,ketanserin,Ketanserine (Ketensin),Ketanserine,2. Spuitpompen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696680697389,19085688,ketanserin,Drug,MAPS_TO,,Patrick Thoral,1696680694305,
10750-65,Acetylcysteine (Syringe Pump),98,,,,,Acetylcysteine (Spuitpomp),Acetylcysteine (Spuitpomp),2. Spuitpompen,Medicatie,0.59,APPROVED,EQUAL,Patrick Thoral,1690488865360,36879879,Acetylcysteine Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1690488864020,
8425-32,Pyridostigmine (Mestinon),310,,,,,Pyridostigmine (Mestinon),Pyridostigmine,Niet iv Overig,Medicatie,0.74,UNCHECKED,UNREVIEWED,,0,759740,pyridostigmine,Drug,MAPS_TO,,<auto>,1686702843223,
7217-27,Neostigmine methyl sulfate,8,,,,,Neostigmine methylsulfaat,Neostigmine methylsulfaat,Injecties Overig,Medicatie,0.82,UNCHECKED,UNREVIEWED,,0,46234490,neostigmine methylsulfate 1 MG/ML,Drug,MAPS_TO,,<auto>,1686702843648,
18753-25,Bevacizumab,1,,,,,Bevacizumab,Bevacizumab,Injecties Haematologisch,Medicatie,1.00,UNCHECKED,UNREVIEWED,,0,1397141,bevacizumab,Drug,MAPS_TO,,<auto>,1686702843718,
7149-30,ketanserin,18,,ATC,C02KD01,ketanserin,Ketanserine (Ketensin),Ketanserine,Niet iv Circulatie/Diurese,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696680716838,40054031,ketanserin Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1696680702413,
10755-67,Insulatard (Insulin),170,,,,,Insulatard (Insuline),Insulatard (Insuline),Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.34,UNCHECKED,UNREVIEWED,,0,43192360,"insulin, isophane 100 UNT/ML [Insulatard]",Drug,MAPS_TO,,<auto>,1686702844229,
7218-65,nicardipine,22430,,ATC,C08CA04,nicardipine,Nicardipine (Cardene),Nicardipine,2. Spuitpompen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696682540455,40740720,Nicardipine Injectable Solution [Cardene],Drug,MAPS_TO,,Patrick Thoral,1696682539698,
18754-25,Bortezomib (VELCADE),5,,,,,Bortezomib (VELCADE),Bortezomib (VELCADE),Injecties Haematologisch,Medicatie,0.71,UNCHECKED,UNREVIEWED,,0,43141270,bortezomib 1 MG [Velcade],Drug,MAPS_TO,,<auto>,1686702844671,
7149-24,ketanserin,13,,ATC,C02KD01,ketanserin,Ketanserine (Ketensin),Ketanserine,Injecties Circulatie/Diuretica,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696680710400,19085688,ketanserin,Drug,MAPS_TO,,<auto>,1686702844812,
8425-23,Pyridostigmine (Mestinon),34,,,,,Pyridostigmine (Mestinon),Pyridostigmine,Injecties CZS/Sedatie/Analgetica,Medicatie,0.74,APPROVED,EQUAL,Patrick Thoral,1711149195092,42619948,Pyridostigmine 5 MG/ML Injectable Solution [Mestinon],Drug,MAPS_TO,,Patrick Thoral,1711149194094,
7219-65,fentanyl,132502,,ATC,N01AH01,fentanyl,Fentanyl,Fentanyl,2. Spuitpompen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1686704411574,35603433,50 ML fentanyl 0.05 MG/ML Injection,Drug,MAPS_TO,,Patrick Thoral,1686704409569,
20535-21,selective digestive tract decontamination tracheostomy paste,3419,,ATC,A01AB,Antiinfectives and antiseptics for local oral treatment,SDD pasta Tracheostoma (2 x dgs),SDD pasta Tracheostoma (2 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.28,APPROVED,EQUIVALENT,Patrick Thoral,1711142334327,902722,tobramycin,Drug,MAPS_TO,"# SDD orabase (paste): 20 mg/g tobramycin, 20 mg/g colistin, and 20 mg/g amphotericine B, Dose: 0,5 g t.i.d.",Patrick Thoral,1696804237392,
20535-21,selective digestive tract decontamination tracheostomy paste,3419,,ATC,A01AB,Antiinfectives and antiseptics for local oral treatment,SDD pasta Tracheostoma (2 x dgs),SDD pasta Tracheostoma (2 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.28,APPROVED,EQUIVALENT,Patrick Thoral,1711142334327,901845,colistin,Drug,MAPS_TO,"# SDD orabase (paste): 20 mg/g tobramycin, 20 mg/g colistin, and 20 mg/g amphotericine B, Dose: 0,5 g t.i.d.",Patrick Thoral,1696804387711,
20535-21,selective digestive tract decontamination tracheostomy paste,3419,,ATC,A01AB,Antiinfectives and antiseptics for local oral treatment,SDD pasta Tracheostoma (2 x dgs),SDD pasta Tracheostoma (2 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.28,APPROVED,EQUIVALENT,Patrick Thoral,1711142334327,1717240,amphotericin B,Drug,MAPS_TO,"# SDD orabase (paste): 20 mg/g tobramycin, 20 mg/g colistin, and 20 mg/g amphotericine B, Dose: 0,5 g t.i.d.",Patrick Thoral,1696804600200,
20535-21,selective digestive tract decontamination tracheostomy paste,3419,,ATC,A01AB,Antiinfectives and antiseptics for local oral treatment,SDD pasta Tracheostoma (2 x dgs),SDD pasta Tracheostoma (2 x dgs),Niet iv Antimicrobiele middelen,Medicatie,0.28,APPROVED,EQUIVALENT,Patrick Thoral,1711142334327,4263689,Topical,Route,MAPS_TO_TYPE,"# SDD orabase (paste): 20 mg/g tobramycin, 20 mg/g colistin, and 20 mg/g amphotericine B, Dose: 0,5 g t.i.d.",Patrick Thoral,1696805051604,
10756-30,Fosinopril (Newace),222,,,,,Fosinopril (Newace),Fosinopril (Newace),Niet iv Circulatie/Diurese,Medicatie,0.53,APPROVED,EQUAL,Patrick Thoral,1710261599007,40039228,fosinopril Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1710261598336,
18771-67,Pegvisomant (SOMAVERT),2,,,,,Pegvisomant (SOMAVERT),Pegvisomant (SOMAVERT),Injecties Hormonen/Vitaminen/Mineralen,Medicatie,0.71,UNCHECKED,UNREVIEWED,,0,42629614,pegvisomant 10 MG [Somavert],Drug,MAPS_TO,,<auto>,1686702845431,
7219-23,fentanyl,2491,,ATC,N01AH01,fentanyl,Fentanyl,Fentanyl,Injecties CZS/Sedatie/Analgetica,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696797890233,42483384,Fentanyl 0.05 MG/ML Injectable Solution,Drug,MAPS_TO,,Patrick Thoral,1696797889363,
7151-65,labetalol,11688,,ATC,C07AG01,labetalol,Labetalol (Trandate),Labetalol,2. Spuitpompen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1690401448648,36257761,Labetalol 5 MG/ML Injection [Trandate],Drug,MAPS_TO,,Patrick Thoral,1690401447191,
20629-118,REACT - Study,18,,,,,REACT - Studie,REACT - Studie,Research,Research-Processen,0.26,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
8429-61,filtered erythrocytes (red blood cells),20834,,ATC,B05AX01,erythrocytes,Gefiltreerde Ery's,Gefilt. Ery's,Infuus - Bloedproducten,INFUUS-Bloedproducten,0.41,APPROVED,EQUAL,Patrick Thoral,1687710606535,36854116,HUMAN BLOOD CELLS,Drug,MAPS_TO,,<auto>,1686702846188,
8429-61,filtered erythrocytes (red blood cells),20834,,ATC,B05AX01,erythrocytes,Gefiltreerde Ery's,Gefilt. Ery's,Infuus - Bloedproducten,INFUUS-Bloedproducten,0.41,APPROVED,EQUAL,Patrick Thoral,1687710606535,4054727,"Leukocyte reduced red blood cells, human",Device,MAPS_TO,,Patrick Thoral,1687710537169,
12138-65,Flolan (Epoprostenol),92,,,,,Flolan (Epoprostenol),Flolan (Epoprostenol),2. Spuitpompen,Medicatie,0.57,APPROVED,EQUAL,Patrick Thoral,1710154324450,784816,50 ML Epoprostenol 0.01 MG/ML Injectable Solution [Flolan],Drug,MAPS_TO,,Patrick Thoral,1710154321213,
7151-30,labetalol,1577,,ATC,C07AG01,labetalol,Labetalol (Trandate),Labetalol,Niet iv Circulatie/Diurese,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696682418999,40169691,labetalol hydrochloride 200 MG Oral Tablet [Trandate],Drug,MAPS_TO,,Patrick Thoral,1696682417380,
18773-25,Nonacog ALFA (FACTOR IX),32,,,,,Nonacog ALFA (FACTOR IX),Nonacog ALFA (FACTOR IX),Injecties Haematologisch,Medicatie,0.57,UNCHECKED,UNREVIEWED,,0,36860175,TRENONACOG ALFA,Drug,MAPS_TO,,<auto>,1686702846518,
20630-118,REST - Study,11,,,,,REST - Studie,REST - Studie,Research,Research-Processen,0.25,APPROVED,UNMATCHED,Patrick Thoral,1696636893096,0,Unmapped,,MAPS_TO,,,0,
7221-23,Nicomorphine (Vilan),2,,,,,Nicomorfine (Vilan),Nicomorfine,Injecties CZS/Sedatie/Analgetica,Medicatie,0.60,APPROVED,EQUAL,Patrick Thoral,1711148060353,37493800,Nicomorphine hydrochloride,Drug,MAPS_TO,,Patrick Thoral,1711148058406,
7157-71,levothyroxine,4421,,ATC,H03AA01,levothyroxine sodium,Levothyroxine (Thyrax),Levothyroxine,Niet iv Hormonen/Vitaminen/Mineralen,Medicatie,1.00,APPROVED,EQUAL,Patrick Thoral,1696683181578,40087471,levothyroxine Oral Tablet,Drug,MAPS_TO,,Patrick Thoral,1696683180741,
8449-21,Pyrimethamine (Daraprim),3,,,,,Pyrimethamine (Daraprim),Pyrimethamine,Niet iv Antimicrobiele middelen,Medicatie,0.57,UNCHECKED,UNREVIEWED,,0,1760039,pyrimethamine,Drug,MAPS_TO,,<auto>,1686702847662,
7222-29,Phenytoin (Diphantoin),960,,,,,Fenytoïne (Diphantoïne),Fenytoïne,Niet iv CZS/Sedatie/Analgetica,Medicatie,0.69,APPROVED,EQUAL,Patrick Thoral,1696802067607,36267076,Phenytoin Oral Tablet [Diphantoine],Drug,MAPS_TO,,<auto>,1686702847805,
